Company Name,Project Name,Click Rate @ 1:00 PM,Opt-out Rate,Yesterday's Click Rate @ 1:00 PM,Opt-out Rate Yesterday,Click Rate @ 1:00 PM 7 Days Ago,Opt-out Rate 7 Days Ago,
Fluent - Website Reengagement,SV - Resubscribes,19.30%,20.84%,18.69%,19.94%,19.30%,21.49%,14.29%
Fluent - Website Reengagement,Sweeps - Resubscribes,21.53%,18.87%,16.94%,16.47%,21.53%,17.36%,12.58%
Fluent - Website Reengagement,Sweeps Confirmation,12.32%,8.99%,12.76%,7.28%,12.32%,7.13%,10.17%
Fluent - Website Reengagement,Sweeps SMS,12.95%,10.29%,11.10%,8.11%,12.95%,7.47%,6.76%
Fluent - Website Reengagement,UK Welcome Series,19.76%,3.75%,19.98%,3.54%,19.76%,3.23%,17.65%
Fluent - Website Reengagement,Viewers Day 1 - On Hours - ATT,11.84%,16.43%,10.45%,15.84%,11.84%,16.91%,8.13%
Fluent - Website Reengagement,Viewers Day 1 - On Hours - Other Carriers,11.62%,23.02%,12.49%,23.33%,11.62%,25.38%,9.40%
Fluent - Website Reengagement,Viewers Day 1 - On Hours - Verizon,16.11%,19.48%,14.40%,18.14%,16.11%,19.09%,10.59%
Gainsco Insurance,Bill Reminder,1.29%,3.84%,1.12%,3.36%,1.29%,3.88%,0.86%
Gainsco Insurance,Welcome Campaign,0.00%,9.23%,2.60%,9.09%,0.00%,21.43%,0.00%
InfoCision Management Corporation,Cox - Drive to App,,,,,,_
Liberty Mutual,(AP) Compare.com Auto Dual CTA,,,,,,_
Liberty Mutual,Drive 2 Site - Vehicle Error Leads,11.49%,14.33%,12.46%,12.78%,11.49%,14.87%,11.08%
Liberty Mutual,Drive 2 Site - Vehicle Error Leads - ATT ONLY,2.86%,10.86%,4.42%,10.50%,2.86%,12.86%,4.35%
Liberty Mutual,Quote Wizard Auto On Hours,0.00%,23.46%,0.00%,23.46%,0.00%,15.94%,0.00%
Liberty Mutual,Quote Wizard Auto On Hours - Dual CTA,,26.39%,,,,_
NextGen Leads,D2S - Auto - AT & T,13.16%,22.86%,8.97%,17.95%,13.16%,21.05%,6.25%
NextGen Leads,D2S - Auto - CoReg,,,,,,_
NextGen Leads,D2S - Auto - CoReg - AT&T,,,,,,_
NextGen Leads,D2S - Auto Insurance,23.08%,24.21%,18.95%,24.19%,23.08%,27.35%,12.35%
NextGen Leads,D2S - Health,19.73%,21.09%,19.64%,12.53%,19.73%,14.94%,18.18%
NextGen Leads,D2S - Health - AT & T,3.85%,28.42%,3.33%,24.85%,3.85%,29.15%,2.22%
Permanent General Companies_ Inc,Rated SMS - Drive to Site,18.94%,13.70%,19.41%,12.02%,18.94%,11.62%,18.91%
Permanent General Companies_ Inc,ROUTER - Rated SMS - Drive to Site - ATT,5.47%,11.86%,6.65%,11.28%,5.47%,12.04%,5.13%
Progrexion,D2S: MK-OP: Verizon Save - Lex Law,0.00%,3.76%,0.16%,0.00%,0.00%,0.00%,0.00%
Progrexion,MK-OP: Drive2Site - Phone to Web,19.12%,22.81%,19.43%,20.80%,19.12%,17.06%,16.14%
QuoteWizard.com_ LLC - Seattle,D2S - Auto - CoReg,11.06%,20.35%,10.80%,20.35%,11.06%,21.51%,10.19%
QuoteWizard.com_ LLC - Seattle,D2S - Auto - CoReg - AT & T,2.13%,17.61%,1.39%,20.44%,2.13%,21.81%,1.44%
What If Media,D2S - Auto Insurance,4.82%,7.81%,4.91%,7.32%,4.82%,8.21%,3.58%
What If Media,D2S - Auto Insurance - ATT,7.47%,8.94%,6.02%,7.03%,7.47%,4.02%,5.33%
What If Media,D2S Auto ATT,,,,,,_
What If Media,D2S Auto Main,,,,,,,
